name,Mean InSAR VLM¹,Mean InSAR VLM uncertainties¹,Mean OE24 VLM¹,Mean OE24 VLM uncertainties¹,"Mean InSAR VLM (Shirzaei et al., 2024²)","Median InSAR VLM (Shirzaei et al., 2024²)",p84.135 [+1σ]²,p97.725 [+2σ]²,p99.865 [+3σ]²,p15.865 [-1σ]²,p2.275 [-2σ]²,p0.135 [-3σ]²,"GIA (Caron et al., 2018)","LECZ population (Nicholls et al., 2021)"
Jakarta,-13.74,7.91,-0.17,1.06,0.93,2.36,6.7,11.54,14.57,-4.35,-18.41,-41.87,0.01,2997277.0
Tianjin,-13.51,9.38,0.36,3.93,-,-,-,-,-,-,-,-,0.43,3186579.0
Bangkok,-8.52,2.67,-1.24,1.1,-1.77,-1.36,0.04,1.22,2.52,-3.61,-7.09,-12.96,0.38,2306671.0
Chittagong,-7.9,3.75,0.13,2.47,-,-,-,-,-,-,-,-,0.25,894714.0
Lagos,-6.73,2.66,-0.55,0.23,-4.87,-4.34,-2.91,-1.68,-0.14,-6.6,-11.93,-20.42,-0.28,721469.0
Dhaka,-6.56,3.6,-1.19,3.4,-,-,-,-,-,-,-,-,0.33,10178367.0
Alexandria,-3.96,2.15,-3.35,0.96,-4.51,-4.33,-3.04,-1.94,-0.32,-5.94,-7.89,-15.2,-0.08,2904740.0
Houston,-3.68,2.97,-3.42,0.93,-3.92,-3.81,-1.68,-0.21,1.32,-5.87,-9.48,-13.31,-1.22,15248.0
Qingdao,-3.1,3.48,-0.62,3.91,-,-,-,-,-,-,-,-,0.42,311870.0
Guangzhou,-2.87,2.64,-0.23,0.51,0.5,0.77,2.12,3.03,3.87,-0.94,-4.18,-10.94,0.32,1663447.0
HongKong,-2.46,2.47,-0.16,0.3,-,-,-,-,-,-,-,-,0.27,775479.0
Suzhou,-2.16,2.21,-1.67,1.24,-,-,-,-,-,-,-,-,0.42,2081739.0
Philadelphia,-2.15,1.77,-2.22,0.23,-,-,-,-,-,-,-,-,-1.37,24596.0
Foshan,-2.06,2.94,-0.25,0.59,-,-,-,-,-,-,-,-,0.33,1884784.0
Shanghai,-1.92,2.18,-1.7,1.14,-1.85,-1.74,-0.05,2.39,3.75,-3.59,-6.72,-13.25,0.42,1964293.0
"Washington,D.C.",-1.88,1.78,-1.89,0.19,-,-,-,-,-,-,-,-,-1.67,14459.0
Kolkata,-1.85,1.76,-2.86,4.18,-2.41,-2.18,-0.67,0.57,1.45,-4.07,-6.92,-10.92,0.2,2602660.0
HoChiMinhCity,-1.74,2.94,0.22,1.0,-0.25,1.3,5.28,8.37,10.98,-5.86,-19.38,-33.22,0.28,577426.0
Hangzhou,-1.66,1.88,-1.67,1.48,-,-,-,-,-,-,-,-,0.45,1553872.0
NewYork,-1.51,1.8,-1.47,0.18,-0.88,-0.82,-0.43,0.03,2.69,-1.29,-2.26,-6.47,-0.9,65089.0
London,-1.39,2.06,-0.47,0.12,-,-,-,-,-,-,-,-,-0.76,193357.0
Karachi,-1.32,1.88,-,-,-,-,-,-,-,-,-,-,0.11,445828.0
Nanjing,-1.04,2.02,-1.36,2.71,-,-,-,-,-,-,-,-,0.49,148520.0
Dalian,-1.0,2.52,-1.2,1.71,-,-,-,-,-,-,-,-,0.38,127685.0
Barcelona,-0.93,1.41,-0.41,0.11,-,-,-,-,-,-,-,-,-0.76,49591.0
Mumbai,-0.83,1.86,-,-,-0.71,-0.61,0.07,0.69,3.1,-1.34,-3.05,-9.39,0.24,1680315.0
Dongguan,-0.58,2.78,-0.21,0.46,-,-,-,-,-,-,-,-,0.31,1389143.0
Miami,-0.56,1.78,-0.81,0.32,-,-,-,-,-,-,-,-,-0.94,353888.0
Abidjan,-0.45,1.88,-0.41,0.25,-0.34,-0.18,0.69,1.49,2.61,-1.32,-3.12,-8.86,-0.29,153825.0
LosAngeles,-0.06,3.21,-0.93,0.26,0.05,0.21,0.91,1.95,7.54,-0.91,-2.53,-7.48,-1.06,22102.0
Yangon,-0.04,4.0,-0.15,5.44,-2.27,0.67,5.14,6.97,8.33,-7.7,-35.5,-63.12,0.26,679644.0
DaresSalaam,-0.01,1.9,-0.31,0.27,-0.77,-0.8,0.59,2.56,5.72,-2.17,-3.88,-5.84,-0.06,35721.0
SaintPetersburg,1.42,3.05,1.66,0.43,2.46,2.59,3.04,3.43,3.98,1.93,0.62,-2.02,1.32,217327.0
Chennai,1.61,1.81,1.2,1.91,-1.46,0.02,1.32,2.28,3.11,-3.99,-14.5,-26.62,0.29,567970.0
Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,0.28,135231.0
BuenosAires,-,-,0.09,0.35,-,-,-,-,-,-,-,-,0.61,694452.0
Fukuoka,-,-,-0.25,0.38,-,-,-,-,-,-,-,-,0.27,1087052.0
Istanbul,-,-,-0.36,0.22,-,-,-,-,-,-,-,-,-0.23,53434.0
Lima,-,-,0.54,1.36,-,-,-,-,-,-,-,-,0.05,42351.0
Luanda,-,-,-0.53,0.44,-,-,-,-,-,-,-,-,-0.1,61572.0
Manila,-,-,-,-,-,-,-,-,-,-,-,-,0.3,685240.0
Nagoya,-,-,2.59,1.27,-,-,-,-,-,-,-,-,0.28,514038.0
