Anshan 41.00 122.89 0 15.4 5.1 3.1 -10.2 23.3
Baotou 40.63 109.93 0 42.5 10.9 -2.4 -13.4 1.0
Beijing 39.90 116.29 0 47.4 29.5 -2.5 -37.4 4.8
Changchun 43.90 125.36 0 57.4 20.7 -4.0 -19.0 2.4
Changhua 23.97 120.50 1 92.0 69.4 -16.2 -42.8 -1.7
Changsha 28.20 113.00 0 44.5 8.9 -2.4 -12.4 2.4
Changzhou 31.76 119.94 0 33.0 11.7 -0.1 -15.4 7.3
Chaozhou 23.62 116.75 1 68.7 26.8 -5.6 -20.4 1.3
Chengdu 30.67 104.07 0 47.2 9.4 -2.7 -12.6 0.4
Chongqing 29.54 106.49 0 41.4 8.9 -2.3 -12.8 3.3
Dalian 38.95 121.51 1 19.5 2.4 -1.0 -7.1 3.0
Daqing 46.59 124.95 0 61.9 26.3 -5.1 -21.7 12.9
Datong 40.08 113.26 0 66.5 22.1 -4.7 -21.1 1.5
Dongguan 22.95 113.86 1 15.1 2.9 0.2 -7.3 6.3
Foshan 23.01 113.06 1 43.1 8.3 -2.5 -12.5 0.6
Fuzhou 26.10 119.42 1 60.6 31.0 -5.0 -27.4 4.8
Guangzhou 23.13 113.44 1 36.2 9.9 -1.6 -14.1 1.3
Guiyang 26.56 106.63 0 60.6 12.8 -3.9 -14.3 -0.2
Haikou 20.00 110.33 1 34.0 6.8 -1.5 -11.4 2.3
Hangzhou 30.24 120.19 0 60.3 15.4 -4.2 -15.2 1.2
Harbin 45.75 126.63 0 64.9 25.7 -5.4 -19.3 1.2
Hefei 31.84 117.27 0 59.4 24.8 -4.4 -20.7 0.5
Hongkong 22.38 114.11 1 26.1 6.1 -1.4 -11.1 4.8
Huainan 32.63 116.96 0 48.8 15.6 -2.9 -17.4 2.7
Huhhot 40.82 111.68 0 61.4 25.0 -5.1 -18.0 1.5
Huizhou 23.08 114.38 1 27.9 7.6 0.2 -12.1 4.0
Jiaozuo 35.19 113.24 0 16.9 3.5 1.7 -8.6 7.0
Jieyang 23.33 116.25 1 58.7 18.1 -4.0 -17.6 3.9
Jilin 43.86 126.53 0 44.8 10.6 -2.3 -13.3 2.5
