Ganges/Brahmaputra;23.1° N;90.4° E;;
Nile (East);30.1° N;31.5° E;;
Yangtze;31.5° N;121.5° E;;
Mekong;9.0° N;106.0° E;;
Chao Phraya;13.5° N;100.6° E;;
Xi Jiang (Pearl);22.5° N;113.6° E;;
Irrawaddy;15.8° N;95.2° E;;
Hong (Red River);20.3° N;106.5° E;;
Mahanadi;20.5° N;86.8° E;;
Niger;5.5° N;6.0° E;;
Amazon;-1.0° S;-49.5° W;;
Rio Grande;25.9° N;-97.4° W;;
Rhine/Scheldt/Meuse;51.5° N;4.0° E;;
Magdalena;10.9° N;-75.0° W;;
Godavari;16.5° N;82.0° E;;
Mississippi;29.6° N;-89.9° W;;
Grijalva/Usumacinta;18.3° N;-92.5° W;;
Mahakam;-0.5° S;117.5° E;;
Yellow (Huang He);38.0° N;119.0° E;;
Krishna;15.9° N;80.9° E;;
Paraná;-34.6° S;-58.4° W;;
Shatt al-Arab;30.4° N;48.0° E;;
Indus;24.0° N;68.0° E;;
Volta;5.8° N;0.8° E;;
Colorado (Gulf of California);31.8° N;-114.6° W;;
Senegal;16.2° N;-16.4° W;;
Danube;45.2° N;29.6° E;;
Sebou;34.3° N;-6.7° W;;
Orinoco;8.5° N;-62.5° W;;
Rhône;43.7° N;4.5° E;;
Moulouya;35.1° N;-2.3° W;;
Limpopo;-25.2° S;33.5° E;;
São Francisco, Brazil;-10.5° S;-36.4° W;;
Dnieper;46.0° N;32.0° E;;
Ebro;40.7° N;0.8° E;;
Burdekin;-19.6° S;147.8° E;;
Mackenzie;69.3° N;-135.0° W;;
Tana River;-2.5° S;40.0° E;;
Lena;72.0° N;126.0° E;;
Yukon;62.5° N;-164.0° W;;
