Delta;Subsidence (mm/yr);Source
Amazon;-1.2;Ericson et al (2006)2
Amur;1;Expert Judgement
Apalachicola;1;Expert Judgement
Arno;1;Expert Judgement
Bahia Blanca;1;Expert Judgement
Balsas;1;Expert Judgement
Baram River;1;Expert Judgement
Batang Hari;1;Expert Judgement
Betsiboke River;1;Expert Judgement
Brazos;1;Expert Judgement
Burdekin;-1.5;Ericson et al (2006)2
Cauvery;1;Expert Judgement
Chao Phraya;1.5;Ericson et al (2006)2
Colorado (Gulf of California);6.3;Ericson et al (2006)2
Colorado (Gulf of Mexico);1;Expert Judgement
Copper;1;Expert Judgement
Danube;1.6;Ericson et al (2006)2
Daugava;1;Expert Judgement
Dneiper;2.5;Ericson et al (2006)2
Doce;1;Expert Judgement
Don;1;Expert Judgement
Ebro;2.6;Ericson et al (2006)2
Eel;1;Expert Judgement
Elwha;1;Expert Judgement
Fly River;1;Expert Judgement
Fraser;1;Expert Judgement
Ganges/Brahmaputra;3;Brown and Nicholls (2015)3, Becker et al (2020)4
Godavari;7.1;Ericson et al (2006)2
Grijalva/Usmacinto;2.5;Ericson et al (2006)2
Guayas;1;Expert Judgement
Han, Korea;1;Expert Judgement
Hong (Red River);-1.2;Ericson et al (2006)2
Indigirka;1;Expert Judgement
Indragiri River;1;Expert Judgement
Indus;2.3;Ericson et al (2006)2
Irrawaddy;-1.5;Ericson et al (2006)2
Jequitinhonha;1;Expert Judgement
Kapuas;1;Expert Judgement
Kelang River;1;Expert Judgement
Klang;1;Expert Judgement
Kolyma;1;Expert Judgement
Krishna;7.9;Ericson et al (2006)2
Kuban;1;Expert Judgement
Lena;-1.3;Ericson et al (2006)2
Liaohe;1;Expert Judgement
Limpopo;1;Expert Judgement
Llobregat;1;Expert Judgement
MacKenzie;0.4;Ericson et al (2006)2
Magdalena;1.2;Ericson et al (2006)2
Mahakam;-0.5;Ericson et al (2006)2
Mahanadi;3.6;Ericson et al (2006)2
Mangoky;1;Expert Judgement
Mania;1;Expert Judgement
McArthur;1;Expert Judgement
Mekong;11;Erban et al (2014)5, Minderhoud et al (2017)6
Mississippi;6;Higgins (2014)7
Mono;1;Expert Judgement
Moulouya;2.6;Ericson et al (2006)2
Murray;1;Expert Judgement
Nagara River;1;Expert Judgement
Neman;1;Expert Judgement
Niger;4.4;Ericson et al (2006)2
Nile (East);3.9;Ericson et al (2006)2, Wöppelmann et al (2013)8, Gebremichael et al (2018)9
Nile (West);0.4;Ericson et al (2006)2, Wöppelmann et al (2013)8, Gebremichael et al (2018)9
North Dvina;1;Expert Judgement
North Italian Plain;5;Tos et al (2016)10
North Java Coastal Plain;1;Expert Judgement
Olenyok;1;Expert Judgement
Ombrone;1;Expert Judgement
Orange River;1;Expert Judgement
Ord River;1;Expert Judgement
Orinoco;2.5;Ericson et al (2006)2
Oueme;1;Expert Judgement
Paraiba do Sol River;1;Expert Judgement
Parana;1.9;Ericson et al (2006)2
Parnaiba;1;Expert Judgement
Pechora;1;Expert Judgement
Penna River;1;Expert Judgement
Pungwe River;1;Expert Judgement
Purari;1;Expert Judgement
Rhine/Scheldt/Meuse;1;Deltacommissie (2008)11
Rhone;1;Suanez and Provansal (1996)12
Rio Grande;4.6;Ericson et al (2006)2
Rio Negro;1;Expert Judgement
Rufiji;1;Expert Judgement
Salween;1;Expert Judgement
Sao Francisco, Brazil;2.9;Ericson et al (2006)2
Sebou;0;Ericson et al (2006)2
Semani;1;Expert Judgement
Senegal;2.3;Ericson et al (2006)2
Sepik;1;Expert Judgement
Seyhan;1;Expert Judgement
Shantou;1;Expert Judgement
Shatt el Arab;3.6;Ericson et al (2006)2
Shkumbin;1;Expert Judgement
Sinu;1;Expert Judgement
Taiwan east coast;1;Expert Judgement
Tana River;1;Ericson et al (2006)2
Tone-gawa;1;Expert Judgement
Tordera;1;Expert Judgement
Trinity River estuary, Galveston;1;Expert Judgement
Tumen;1;Expert Judgement
Var;1;Expert Judgement
Vistula/Wisla;1;Expert Judgement
Vjose;1;Expert Judgement
Volta;2.5;Ericson et al (2006)2
Waipaoa;1;Expert Judgement
Xi Jiang (Pearl);2.5;Wang et al (2012)13
Yamazaki River (Toyko);1;Expert Judgement
Yana;1;Expert Judgement
Yangtze;2.1;Ericson et al (2006)2
Yellow (Huang He);1.8;Ericson et al (2006)2
Yenisey River;1;Expert Judgement
Yodo River (Osaka);1;Expert Judgement
Yukon;-1.5;Ericson et al (2006)2
Zaire River;1;Expert Judgement
Zambezi;1;Expert Judgement
Zarumilla River;1;Expert Judgement
